St;PROVPUNKT_Original;St_Original;Datum;Temperatur;Siktdjup_m;Klorofyll_µg_l;pH;Alkalinitet_mekv_l;Syrgashalt_mg_l;Syrem;Nitrigen;fosfor;Övervakningsstation;Stationskoordina_N_X;Stationskoordina_E_Y;Year;year_month
430B;;430B;2011-05-10;19.5;;;7.9;0.57;9.9;115;690;36;Växjösjön utlopp;56.864825;14.802238;2011;May-11
430B;;430B;2011-05-10;19.5;;;7.6;0.58;9.9;115;840;31;Växjösjön utlopp;56.864825;14.802238;2011;May-11
430B;;430B;2011-07-06;23.3;;;7.8;0.56;7.2;92;550;17;Växjösjön utlopp;56.864825;14.802238;2011;Jul-11
430B;;430B;2011-08-02;21;;;8;0.54;8.1;98;530;31;Växjösjön utlopp;56.864825;14.802238;2011;Aug-11
430B;;430B;2011-10-07;14;;;7.7;0.5;6.7;72;500;32;Växjösjön utlopp;56.864825;14.802238;2011;Oct-11
469;469 Bergunda kanal Växjösjön                                   ;469;2011-05-12;19;1.3;10.2;;;10;116;;;Växjösjön mitt;56.867805;14.81321;2011;May-11
469;;469;2011-06-09;21;1.4;20;;;10.3;126;;;Växjösjön mitt;56.867805;14.81321;2011;Jun-11
469;;469;2011-07-05;21.8;1.2;27;;;;;;;Växjösjön mitt;56.867805;14.81321;2011;Jul-11
469;;469;2011-08-12;17.2;1;36;;;;;;;Växjösjön mitt;56.867805;14.81321;2011;Aug-11
469;;469;2011-09-08;17.3;1.1;32;;;;;;;Växjösjön mitt;56.867805;14.81321;2011;Sep-11
469;;469;2011-10-07;14;1.2;28;;;;;;;Växjösjön mitt;56.867805;14.81321;2011;Oct-11
430B;430b Växjösjöns utlopp;430B;2012-01-13;1.9;;;7.4;0.46;12;89;820;26;Växjösjön utlopp;56.864825;14.802238;2012;Jan-12
430B;ny punkt;430B;2012-03-03;2.4;;;7.3;0.09;15;111;920;22;Växjösjön utlopp;56.864825;14.802238;2012;Mar-12
430B;;430B;2012-05-11;13.8;;;7.8;0.49;10;103;500;21;Växjösjön utlopp;56.864825;14.802238;2012;May-12
430B;;430B;2012-07-07;19;;;7.8;0.54;7;82;420;14;Växjösjön utlopp;56.864825;14.802238;2012;Jul-12
430B;;430B;2012-08-17;19.9;;;7.8;0.58;8;94;410;35;Växjösjön utlopp;56.864825;14.802238;2012;Aug-12
430B;;430B;2012-10-04;12.2;;;7.8;0.51;8;76;480;24;Växjösjön utlopp;56.864825;14.802238;2012;Oct-12
469;469  Växjösjön                                   ;469;2012-05-08;12.9;1.5;17;;;12;112;;;Växjösjön mitt;56.867805;14.81321;2012;May-12
469;;469;2012-06-09;13.6;2.1;7.2;;;;;;;Växjösjön mitt;56.867805;14.81321;2012;Jun-12
469;;469;2012-07-07;19.7;2.4;6;;;;;;;Växjösjön mitt;56.867805;14.81321;2012;Jul-12
469;;469;2012-08-17;19.8;1.4;18;;;9;103;;;Växjösjön mitt;56.867805;14.81321;2012;Aug-12
469;;469;2012-09-05;16.9;1.6;17;;;7;80;;;Växjösjön mitt;56.867805;14.81321;2012;Sep-12
469;;469;2012-10-04;12.3;2.1;9.7;;;8;76;;;Växjösjön mitt;56.867805;14.81321;2012;Oct-12
430B;430b Växjösjöns utlopp;430B;2013-01-16;1.6;;;7.3;0.48;15;109;730;24;Växjösjön utlopp;56.864825;14.802238;2013;Jan-13
430B;ny punkt;430B;2013-03-15;3.3;;;7.1;0.5;9;64;800;20;Växjösjön utlopp;56.864825;14.802238;2013;Mar-13
430B;;430B;2013-05-16;17.2;;;7.5;0.52;11;112;620;43;Växjösjön utlopp;56.864825;14.802238;2013;May-13
430B;;430B;2013-07-04;18.7;;;7.6;0.54;9;97;450;23;Växjösjön utlopp;56.864825;14.802238;2013;Jul-13
430B;;430B;2013-08-14;20.8;;;7.7;0.55;9;109;550;36;Växjösjön utlopp;56.864825;14.802238;2013;Aug-13
430B;;430B;2013-10-01;10.9;;;7.6;0.54;10;88;500;34;Växjösjön utlopp;56.864825;14.802238;2013;Oct-13
469;469  Växjösjön yta                                   ;469;2013-05-15;14.9;1.2;30;7.6;0.5;9;92;550;25;Växjösjön mitt;56.867805;14.81321;2013;May-13
469;;469;2013-06-04;19.5;1.7;12;7.6;0.6;9;104;430;25;Växjösjön mitt;56.867805;14.81321;2013;Jun-13
469;;469;2013-07-03;18.3;2.4;11;7.6;0.5;9;101;430;24;Växjösjön mitt;56.867805;14.81321;2013;Jul-13
